timestamp,temperature,humidity,pm2_5
2025-02-10 18:00:17,25.16,46.49,4.1
2025-02-10 18:01:17,25.16,46.49,3.7
2025-02-10 18:02:17,25.16,46.48,4.1
2025-02-10 18:03:17,25.16,46.49,3.8
2025-02-10 18:04:17,25.16,46.46,4.3
2025-02-10 18:05:17,25.16,46.45,3.7
2025-02-10 18:06:17,25.155,46.45,4.5
2025-02-10 18:07:17,25.15,46.48,4.7
2025-02-10 18:08:17,25.15,46.47,4.3
2025-02-10 18:09:35,25.15,46.5,4.2
2025-02-10 18:10:35,35,30,6
2025-02-10 18:11:35,25.15,46.5,4.2
2025-02-10 18:12:35,25.155,46.48,3.9
2025-02-10 18:13:35,25.155,46.46,3.7
2025-02-10 18:14:35,25.155,46.46,3.6
2025-02-10 18:15:35,25.155,46.47,4.2
2025-02-10 18:16:35,25.155,46.44,3.8
2025-02-10 18:17:35,25.155,46.44,3.9
2025-02-10 18:18:35,25.155,46.44,4.3
2025-02-10 18:19:35,25.155,46.45,4.1
2025-02-10 18:20:35,25.155,46.45,3.9
2025-02-10 18:21:35,25.15,46.45,4.3
2025-02-10 18:22:35,25.15,46.45,4.3
2025-02-10 18:23:35,25.15,46.46,4.4
2025-02-10 18:24:43,25.145,46.47,4.4
2025-02-10 18:25:43,25.145,46.49,4.0
2025-02-10 18:26:43,25.15,46.47,3.8
2025-02-10 18:27:43,25.15,46.45,4.2
2025-02-10 18:28:43,25.15,46.43,3.9
2025-02-10 18:29:43,25.15,46.45,4.8
2025-02-10 18:30:43,25.145,46.45,4.4
2025-02-10 18:31:43,25.145,46.46,3.9
2025-02-10 18:32:43,25.145,46.46,4.0
2025-02-10 18:33:43,25.14,46.45,3.9
2025-02-10 18:34:43,25.14,46.48,4.3
2025-02-10 18:35:43,25.135,46.48,3.9
2025-02-10 18:36:43,25.135,46.47,3.9
2025-02-10 18:37:43,25.135,46.48,4.1
2025-02-10 18:38:43,25.135,46.5,4.6
2025-02-10 18:40:02,25.135,46.48,4.2
2025-02-10 18:41:02,25.13,46.49,4.1
2025-02-10 18:42:02,25.135,46.5,4.1
2025-02-10 18:43:02,25.135,46.5,4.2
2025-02-10 18:44:02,25.135,46.51,4.4
2025-02-10 18:45:02,25.135,46.49,4.4
2025-02-10 18:46:02,25.14,46.5,4.7
2025-02-10 18:47:02,25.14,46.48,4.1
2025-02-10 18:48:02,25.14,46.46,4.1
2025-02-10 18:49:02,25.145,46.48,4.3
2025-02-10 18:50:02,25.145,46.44,4.2
2025-02-10 18:51:02,25.145,46.47,4.8
2025-02-10 18:52:02,25.145,46.48,4.4
2025-02-10 18:53:02,25.145,46.44,4.2
2025-02-10 18:54:02,25.145,46.48,3.9
2025-02-10 18:54:57,25.145,46.5,4.5
2025-02-10 18:55:57,25.15,46.48,4.1
2025-02-10 18:56:57,25.15,46.48,4.5
2025-02-10 18:57:57,25.155,46.49,4.5
2025-02-10 18:58:57,25.155,46.47,3.8
2025-02-10 18:59:57,25.16,46.44,4.6
2025-02-10 19:00:57,25.16,46.44,4.7
2025-02-10 19:01:57,25.16,46.45,4.4
2025-02-10 19:02:57,25.16,46.41,3.9
2025-02-10 19:03:57,25.16,46.44,4.7
2025-02-10 19:04:57,25.16,46.43,4.0
2025-02-10 19:05:57,25.155,46.44,4.1
2025-02-10 19:06:57,25.155,46.45,4.5
2025-02-10 19:07:57,25.155,46.44,4.2
2025-02-10 19:08:57,25.155,46.46,3.8
2025-02-10 19:09:54,25.155,46.46,4.9
2025-02-10 19:10:54,25.155,46.49,4.2
2025-02-10 19:11:54,25.15,46.48,4.7
2025-02-10 19:12:54,25.15,46.48,4.0
2025-02-10 19:13:54,25.155,46.45,4.3
2025-02-10 19:14:54,25.155,46.47,4.4
2025-02-10 19:15:54,25.155,46.46,4.2
2025-02-10 19:16:54,25.155,46.46,4.9
2025-02-10 19:17:54,25.155,46.46,4.3
2025-02-10 19:18:54,25.155,46.45,4.2
2025-02-10 19:19:54,25.155,46.43,5.1
2025-02-10 19:20:54,25.155,46.42,4.2
2025-02-10 19:21:54,25.155,46.44,4.3
